jobno,CR1_mean,CR1_min,CR1_max,CR1_std,CR1_var,ER1_mean,ER1_min,ER1_max,ER1_std,ER1_var,ST1_mean,ST1_min,ST1_max,ST1_std,ST1_var,ST2_mean,ST2_min,ST2_max,ST2_std,ST2_var,prod_grade
25,39.814658951429074,20.0,48.0,9.052102725422792,81.94056375160675,47.72470629493249,0.0,100.0,18.266201559472183,333.65411941126405,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
26,43.673894394320364,17.0,156.0,20.96243845386122,439.4238259319197,28.976066131487062,0.0,100.0,32.16245489674259,1034.4235049850015,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
27,40.10961568792387,19.0,95.0,29.404616377637325,864.6314643160173,20.682104931132372,0.0,100.0,28.79148882104918,828.9498285326,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,B
41,41.80316448860568,15.0,96.0,23.382205253635394,546.7275225231347,37.47312989467999,0.0,100.0,35.097673387617384,1231.8466772238655,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
42,50.35222389342501,15.0,95.0,24.109038573901515,581.2457409578712,28.794413107708838,0.0,100.0,33.58760846992987,1128.1274427293047,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
45,41.106001810891215,12.0,157.0,10.038388456646883,100.7692428065414,42.48919743074028,0.0,100.0,24.073134324842727,579.515796221921,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,B-
46,47.17412587412588,23.0,95.0,17.200927301343874,295.8719000261171,65.51734750979296,0.0,100.0,26.46839671670494,700.5760247528768,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,B-
47,59.43419342862447,15.0,96.0,28.173724179867897,793.7587341632731,52.99183067211288,0.0,100.0,29.573050914093702,874.5653403675784,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
48,37.71966441579701,18.0,57.0,7.103122353254051,50.454347165297364,55.199181166837256,0.0,100.0,28.28409460314016,799.9900075193824,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
49,49.89993325917686,14.0,94.0,22.128498851427622,489.67046141763365,41.39926136869271,0.0,100.0,30.489288128699826,929.5966905948761,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
50,41.589803841438496,11.0,157.0,8.658277963821773,74.96577729880171,53.36798443260959,0.0,100.0,13.374554519193222,178.87870858687182,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
51,46.264081027667984,12.0,94.0,27.100736116635453,734.4498980635092,41.20297445525965,0.0,100.0,30.14021830067371,908.4327592122663,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
52,46.54884071062933,11.0,94.0,19.73288857507632,389.3868915163775,43.61215333192809,0.0,100.0,29.265728276763646,856.4828515693632,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
53,50.31302448557305,16.0,95.0,25.312969175872666,640.7464084986797,43.08283513451368,0.0,100.0,33.39564633727047,1115.2691942840465,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
54,39.815077945310506,9.0,174.0,9.82899417841415,96.60912655929928,46.57659868118387,0.0,100.0,22.217909805997614,493.635516147445,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
55,40.48005301524188,9.0,56.0,9.203145779382664,84.69789223656895,40.78405249552595,0.0,100.0,24.85810779609616,617.9255232023368,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
56,35.397958632607875,9.0,94.0,17.985436793154104,323.4759366405414,40.184263109574985,0.0,100.0,28.551382218109786,815.1814265645958,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
57,56.655768793142684,8.0,181.0,21.560945363108253,464.87436495093925,60.630874548111684,0.0,100.0,15.304583443571955,234.23027438125683,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
58,49.00571545213309,14.0,86.0,14.84757068480802,220.4503552403705,62.54523177455585,1.0,100.0,14.542437273544326,211.48248185497135,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
59,53.72417711059083,8.0,94.0,24.255434769489035,588.3261158569376,53.2008057018903,0.0,100.0,24.5397583890471,602.1997417928076,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
60,39.138418517943144,8.0,59.0,10.254157579212636,105.14774765932394,44.355774210253756,0.0,100.0,22.082960534117625,487.6571459513965,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
61,52.19109770362618,12.0,94.0,24.95751695483095,622.8776525506744,39.857723326971616,1.0,100.0,32.92876098489796,1084.3033000005385,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
62,51.96297404443115,8.0,94.0,23.53339789084953,553.8208162890411,52.0581986834231,0.0,100.0,15.654037997275083,245.04890562013208,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
63,51.12633431085044,10.0,86.0,17.253176374790165,297.67209501961753,61.98627243928194,1.0,100.0,11.48050904763774,131.802087992892,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
64,51.75647668393783,27.0,161.0,25.963289493207782,674.0924013081136,62.002961865975564,2.0,100.0,16.26447742203578,264.5332258119117,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
